sample_id,actual_rul,mean_attribution,max_attribution
0,69.0,0.24991438,3.1267192
1,82.0,0.16931388,1.7303005
2,91.0,0.13849871,1.3453963
3,93.0,0.09673074,0.9701668
4,91.0,0.14825085,1.1929677
5,95.0,0.21634129,2.3896253
6,111.0,0.07051912,0.76113087
7,96.0,0.20792079,2.9934554
8,97.0,0.2586608,2.4345949
9,124.0,0.23622271,1.7698276
10,95.0,0.2084497,1.8960745
11,83.0,0.13095434,1.1998081
12,84.0,0.18661813,1.3611954
13,50.0,0.22203657,4.533498
14,28.0,0.20974684,2.2192287
15,87.0,0.2593476,2.0442169
16,16.0,0.22224347,4.2730417
17,57.0,0.27942875,3.7832036
18,113.0,0.122208886,1.2230849
19,20.0,0.23357362,7.2634277
20,119.0,0.10962034,0.934489
21,66.0,0.2889272,2.9981997
22,97.0,0.103613704,0.865386
23,90.0,0.16620542,1.805756
24,115.0,0.17677821,1.6236024
25,8.0,0.25245923,3.710127
26,48.0,0.26395586,5.6421824
27,106.0,0.06902793,0.8961978
28,7.0,0.27667686,3.3488934
29,11.0,0.22570068,4.223607
30,19.0,0.23858926,3.40591
31,21.0,0.2433532,2.3628864
32,50.0,0.21253721,2.9012556
33,28.0,0.23644195,3.066831
34,18.0,0.25962213,2.374577
35,10.0,0.26482394,3.1465335
36,59.0,0.21843126,2.9577527
37,109.0,0.107824095,1.0873123
38,114.0,0.13250473,2.061303
39,47.0,0.21747406,2.7623162
40,135.0,0.0714276,0.9984715
41,92.0,0.10226957,0.833256
42,21.0,0.2608994,3.5031605
43,79.0,0.27991337,2.34272
44,114.0,0.16994987,1.6184182
45,29.0,0.21137147,6.1327653
46,26.0,0.20752004,5.1978946
47,97.0,0.18868054,1.5291829
48,137.0,0.0893792,0.71929055
49,15.0,0.33914804,3.9541826
50,103.0,0.14810608,1.658625
51,37.0,0.23353416,3.5206573
52,114.0,0.26214927,2.5375612
53,100.0,0.1025623,1.091211
54,21.0,0.19382916,2.4343972
55,54.0,0.21122964,4.699666
56,72.0,0.23583442,2.3308246
57,28.0,0.25098225,3.087775
58,128.0,0.113444455,1.1774733
59,14.0,0.23647049,4.9960127
60,77.0,0.052895185,0.67562073
61,8.0,0.23027122,3.2360642
62,121.0,0.06923921,0.8109771
63,94.0,0.20488174,2.5346477
64,118.0,0.105413206,0.99997455
65,50.0,0.18975887,1.9433541
66,131.0,0.27546105,2.1109931
67,126.0,0.07938093,0.8778363
68,113.0,0.10948726,1.1082196
69,10.0,0.24640293,3.3974018
70,34.0,0.26496,3.7007148
71,107.0,0.09916642,1.1421446
72,63.0,0.16865872,1.6468836
73,90.0,0.12319546,1.4227232
74,8.0,0.24359311,3.9047985
75,9.0,0.2665212,3.8197894
76,137.0,0.061160877,0.90986234
77,58.0,0.22257125,3.2899675
78,89.0,0.11062262,1.0708688
79,116.0,0.11793322,1.1048706
80,115.0,0.14876735,1.3275088
81,136.0,0.09975645,0.99525756
82,28.0,0.2190363,3.6846194
83,38.0,0.26554167,3.9782155
84,20.0,0.33412027,4.3300242
85,85.0,0.16393784,2.1256151
86,55.0,0.2141299,3.2680807
87,128.0,0.14205156,1.2560778
88,137.0,0.17657818,1.6137499
89,82.0,0.25016063,2.5458126
90,59.0,0.14580597,1.479294
91,117.0,0.2472185,2.3208814
92,20.0,0.22996251,7.373187
